Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,El Salvador,SLV,23964.0,24879.0,22465.0,21056.0,19339.0,20961.2770874618,24699.0,26622.0,29114.0,31662.0,28671.0,28670.0,27995.0,27601.0,26305.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Equatorial Guinea,GNQ,,,,,,717.170923379175,2808.0,8201.0,19416.0,14136.0,22350.0,22464.0,20590.0,7930.0,8114.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Eritrea,ERI,,,,,,,,,,,539.0,714.0,919.0,1018.0,1111.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Estonia,EST,8350.0,8183.0,9214.0,11478.0,8592.0,12207.9705512659,13492.0,26778.0,13356.0,13524.0,13954.0,16179.0,528.0,1583.0,22.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Eswatini,SWZ,,,,,,,,,,,,,,2224.0,2270.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ethiopia,ETH,30961.0,33644.0,37528.0,39804.0,44154.0,48783.0,57728.0,62136.0,68131.0,71166.0,83940.0,94330.0,99263.0,110971.0,119542.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Faroe Islands,FRO,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Fiji,FJI,41886.0,46866.0,46359.0,46467.0,45595.0,26127.0,18142.0,16011.2858124356,11748.0,19140.0,19487.0,20906.0,21855.0,24134.0,25859.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Finland,FIN,107108.0,114699.0,118686.0,114371.0,104740.0,132408.28422807,144467.0,138914.132653061,138987.0,140256.0,153849.0,162119.0,118856.0,125804.0,131089.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,France,FRA,728081.0,805731.0,825471.0,827851.0,771675.0,738003.426442238,754292.0,739353.599757151,641440.0,610197.0,607168.0,599427.0,599256.0,597412.0,598374.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,French Polynesia,PYF,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gabon,GAB,8505.0,8524.0,9057.0,5654.0,5423.0,7516.15985130111,3002.0,1553.0,0.0,,2765.0,2305.0,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Gambia, The",GMB,,,,,,0.0,0.0,140.0,1788.0,1848.0,35.0,440.0,625.0,1116.0,1136.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Georgia,GEO,4673.0,4861.0,5347.0,5487.0,5054.0,2803.0,3896.0,3326.0,2933.0,3317.0,3959.0,3199.0,5061.0,7108.0,7240.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Germany,DEU,1023858.0,1084821.0,1126699.0,1154472.0,1080553.0,971803.431596833,1021899.93850367,985668.769188173,954874.0,946082.0,967453.0,962803.0,955827.0,922648.643490196,896647.181,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ghana,GHA,,,,,,5645.66956713294,10683.0,14902.0,16560.0,16764.0,20539.0,21628.0,21224.0,11635.0,15617.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gibraltar,GIB,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Greece,GRC,130515.0,133226.0,137697.0,128287.0,112671.0,136382.257932753,125477.119829729,111870.0,103800.0,134160.0,124014.0,128454.0,135281.0,144040.0,151848.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Greenland,GRL,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Grenada,GRD,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guam,GUM,,,,12139.0,11470.0,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guatemala,GTM,,,,,,8875.0,9148.0,8091.0,2556.0,2214.0,3012.0,3102.0,3577.0,3205.0,2623.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guinea,GIN,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guyana,GUY,,,,,,9351.0,12231.0,8625.0,0.0,0.0,,,,1931.0,1578.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Haiti,HTI,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Honduras,HND,,,,,,21574.0,18287.0,16760.0,26796.0,24216.0,24813.0,24315.0,9482.0,14832.0,16602.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Hong Kong SAR, China",HKG,122705.0,130014.0,141372.0,144039.0,149809.0,158255.0,173112.0,185506.37822568,199639.0,215562.0,228582.0,235581.0,243518.0,245146.0,242173.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Hungary,HUN,47362.0,45781.0,51003.0,49795.0,45861.0,111307.0,120826.212389811,88801.8316511268,103080.0,123708.0,145492.0,137605.0,158454.0,183541.0,213664.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Iceland,ISL,11803.0,12785.0,14064.0,12431.0,12924.0,21668.3164735801,24488.0,26469.0,26643.0,28979.0,35558.0,41022.0,50389.0,54653.3025910987,35823.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,India,IND,330484.0,453921.0,569033.0,592292.0,601977.0,623196.778558652,695626.0,678125.937793064,689094.0,724541.12,787998.0,917625.0,1029426.0,1200111.363,1209803.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Indonesia,IDN,320724.0,357414.0,357789.0,345240.0,330112.0,520932.081983182,599692.276092406,641182.300723356,576000.0,675005.895378656,682389.0,823735.0,892801.0,959307.381,808265.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Iran, Islamic Rep.",IRN,121235.0,136075.0,137645.0,122226.0,133932.0,158014.183450955,161191.677604321,153142.822223706,161029.0,162563.374175832,133663.0,159754.0,225399.088,207096.0,186006.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Iraq,IRQ,,,,,,7692.0,9697.0,8993.0,4332.0,4332.0,12805.0,10579.0,18509.38,48355.0,30270.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ireland,IRL,303697.0,350204.0,416205.0,483741.0,528098.0,601262.0,635065.0,648817.651510641,641412.0,658512.0,718059.0,836293.0,883323.0,935913.0,967456.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Isle of Man,IMN,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Israel,ISR,34104.0,36257.0,47038.0,45309.0,47856.0,47829.0,47195.0,47073.827458256,46644.0,49177.0,49020.0,50548.0,50330.0,53901.0,47318.0,
